index,category
2009_flu_pandemic_in_Canada,pandemic
Upper_respiratory_tract_infection,respiratory
Fungal_pneumonia,respiratory
Classification_of_pneumonia,respiratory
Influenza_A_virus,flu
Human_parainfluenza_viruses,flu
Infection_rate,
Clostridioides_difficile_infection,gastrointestinal
Fecal_vomiting,gastrointestinal
Fever_of_unknown_origin,
Typhoid_fever,
New_daily_persistent_headache,
Influenza_D_virus,flu
Influenza_A_virus_subtype_H3N2,flu
Cough,flu
2009_flu_pandemic_in_the_United_States_by_state,pandemic
Muscle_fatigue,
Influenza_A_virus_subtype_H2N2,flu
Vomiting,gastrointestinal
Influenza_A_virus_subtype_H7N9,flu
Hospital-acquired_infection,
2009_flu_pandemic_in_the_Philippines,pandemic
Influenza,flu
Laryngopharyngeal_reflux,gastrointestinal
Adrenal_fatigue,
2009_flu_pandemic_vaccine,pandemic
Mycoplasma_pneumoniae,respiratory
Sore_throat,respiratory
Cyclic_vomiting_syndrome,gastrointestinal
Influenza_A_virus_subtype_H1N1,flu
Mycobacterium_avium-intracellulare_infection,respiratory
Sexual_fluidity,
Shortness_of_breath,
Influenza_treatment,flu
Timeline_of_influenza,flu
Influenza_B_virus,flu
Biliary_reflux,gastrointestinal
Spanish_flu,pandemic
Superinfection,
Intermittent_fever,
Cryptogenic_organizing_pneumonia,respiratory
Usual_interstitial_pneumonia,respiratory
Coffee_ground_vomiting,gastrointestinal
Chlamydia_pneumoniae,respiratory
Spanish_flu_research,flu
Respiratory_tract_infection,respiratory
2009_flu_pandemic_in_the_United_Kingdom,pandemic
Cluster_headache,
Hospital-acquired_pneumonia,respiratory
2009_flu_pandemic_in_India,pandemic
Thunderclap_headache,
Decision_fatigue,
2009_flu_pandemic_in_Australia,pandemic
Viral_pneumonia,respiratory
Infection_control,
Flu_season,flu
Acute_bronchitis,respiratory
Community-acquired_pneumonia,respiratory
2009_flu_pandemic_in_Europe,pandemic
Periodic_fever_syndrome,
Sexual_headache,
Avian_influenza,flu
Bronchitis,respiratory
Typhoid_vaccine,
Tension_headache,
Post-viral_cough,
Chills,
Bacterial_pneumonia,respiratory
2009_flu_pandemic_in_Mexico,pandemic
Whooping_cough,
Haemophilus_influenzae,flu
Universal_flu_vaccine,flu
2015_Indian_swine_flu_outbreak,pandemic
Pneumonia,respiratory
Chest_pain,
Lower_respiratory_tract_infection,respiratory
Ventilator-associated_pneumonia,respiratory
Pneumocystis_pneumonia,respiratory
Group_A_streptococcal_infection,
Atypical_pneumonia,respiratory
Fever,
Avian_infectious_bronchitis,respiratory
Continuous_fever,
Fatigue,
Klebsiella_pneumoniae,respiratory
Hemagglutinin_%28influenza%29,flu
Streptococcus_pneumoniae,respiratory
1976_swine_flu_outbreak,pandemic
Spillover_infection,
Roflumilast,respiratory
Influenza-like_illness,flu
Intestinal_parasite_infection,gastrointestinal
Fluticasone_furoate,
Vertically_transmitted_infection,
Subclinical_infection,
2009_flu_pandemic_in_the_United_States,pandemic
Cough_reflex,
Travelers%27_diarrhea,gastrointestinal
Relapsing_fever,
Opportunistic_infection,
Diarrhea,gastrointestinal
2017%E2%80%932018_United_States_flu_season,pandemic
Aspiration_pneumonia,respiratory
2009_swine_flu_pandemic,pandemic
Headache,
Hong_Kong_flu,pandemic
Viral_hemorrhagic_fever,
Influenza_pandemic,pandemic
1889%E2%80%931890_flu_pandemic,pandemic
Gastroesophageal_reflux_disease,gastrointestinal
Cold-stimulus_headache,
Influenza_C_virus,flu
Rheumatic_fever,
Post-dural-puncture_headache,
Infection,
Influenza_A_virus_subtype_H5N1,flu
Lobar_pneumonia,
Influenza_vaccine,flu
2009_flu_pandemic_timeline,pandemic
Paratyphoid_fever,
Adenovirus_infection,flu
Staphylococcal_infection,
2009_flu_pandemic_by_country,pandemic
Chronic_fatigue_syndrome,
Influenza_A_virus_subtype_H1N2,flu
Swine_influenza,flu
2009_flu_pandemic_in_Asia,pandemic
